antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'0'}),frozenset({'text'}),0.01605771468466372,0.4287487394306105,0.01179117213559848,0.7342995169082126,1.7126569698686032,0.004906447206412507,2.1499820170520665,0.4229027660210129
frozenset({'text'}),frozenset({'0'}),0.4287487394306105,0.01605771468466372,0.01179117213559848,0.027501356974850732,1.712656969868603,0.004906447206412507,1.0117672578489048,0.7284218745533033
frozenset({'1'}),frozenset({'3'}),0.0540687301217904,0.02226359475603134,0.01489411217128229,0.27546628407460544,12.37294727528132,0.013690347874877523,1.3494698504060318,0.9717180751462468
frozenset({'3'}),frozenset({'1'}),0.02226359475603134,0.0540687301217904,0.01489411217128229,0.6689895470383275,12.372947275281318,0.013690347874877523,2.8577081521583803,0.9401087121813181
frozenset({'1'}),frozenset({'text'}),0.0540687301217904,0.4287487394306105,0.027848886820262198,0.5150645624103299,1.2013202956452982,0.004666986937930686,1.1779944633635044,0.1771614241992157
frozenset({'text'}),frozenset({'1'}),0.4287487394306105,0.0540687301217904,0.027848886820262198,0.0649538628550751,1.2013202956452984,0.004666986937930686,1.0116412787571332,0.29336045718159104
frozenset({'1'}),frozenset({'value'}),0.0540687301217904,0.022961756264060197,0.021720580249786674,0.4017216642754663,17.4952499127535,0.020479067247222874,1.6330831076353718,0.9967337566484689
frozenset({'value'}),frozenset({'1'}),0.022961756264060197,0.0540687301217904,0.021720580249786674,0.9459459459459459,17.495249912753497,0.020479067247222874,17.49972849274688,0.9649997164407645
frozenset({'password'}),frozenset({'2'}),0.2847723217748817,0.018229772709642385,0.01225661314095105,0.04304004358485426,2.3609753270313036,0.007065278440997812,1.0259261327591525,0.8059618605672862
frozenset({'2'}),frozenset({'password'}),0.018229772709642385,0.2847723217748817,0.01225661314095105,0.672340425531915,2.3609753270313036,0.007065278440997812,2.1828377192584787,0.5871498383715534
"frozenset({""['styled-text']""})",frozenset({'20'}),0.01737646419982934,0.0409588084710263,0.01737646419982934,1.0,24.414772727272727,0.016664744930764884,inf,0.9760006315623273
frozenset({'20'}),"frozenset({""['styled-text']""})",0.0409588084710263,0.01737646419982934,0.01737646419982934,0.4242424242424242,24.414772727272723,0.016664744930764884,1.7066619306002964,1.0
frozenset({'password'}),frozenset({'20'}),0.2847723217748817,0.0409588084710263,0.0212551392444341,0.07463906292563334,1.8222957579059456,0.009591204259007249,1.0363968837512108,0.6309063128394318
frozenset({'20'}),frozenset({'password'}),0.0409588084710263,0.2847723217748817,0.0212551392444341,0.5189393939393939,1.8222957579059458,0.009591204259007249,1.4867724964679625,0.4705133223634685
frozenset({'text'}),frozenset({'20'}),0.4287487394306105,0.0409588084710263,0.01947094872391591,0.04541342500452326,1.1087584502524797,0.0019099112233835758,1.0046665401024713,0.17171130794583764
frozenset({'20'}),frozenset({'text'}),0.0409588084710263,0.4287487394306105,0.01947094872391591,0.4753787878787879,1.1087584502524797,0.0019099112233835758,1.0888832692441794,0.10227954960067527
frozenset({'user_name'}),frozenset({'20'}),0.015669847180203242,0.0409588084710263,0.013652936157008766,0.8712871287128714,21.272277227722775,0.013011117887584571,7.4510123341866485,0.9681613996374813
frozenset({'20'}),frozenset({'user_name'}),0.0409588084710263,0.015669847180203242,0.013652936157008766,0.3333333333333333,21.27227722772277,0.013011117887584571,1.476495229229695,0.9936908517350158
frozenset({'user_pwd'}),frozenset({'20'}),0.013652936157008766,0.0409588084710263,0.013652936157008766,1.0,24.414772727272727,0.013093728159886695,inf,0.9723161620133701
frozenset({'20'}),frozenset({'user_pwd'}),0.0409588084710263,0.013652936157008766,0.013652936157008766,0.3333333333333333,24.414772727272727,0.013093728159886695,1.4795205957644866,1.0
frozenset({'value'}),frozenset({'3'}),0.022961756264060197,0.02226359475603134,0.0147389651694981,0.6418918918918919,28.831457764384595,0.0142277539331483,2.7302827920020256,0.9880019222331334
frozenset({'3'}),frozenset({'value'}),0.02226359475603134,0.022961756264060197,0.0147389651694981,0.662020905923345,28.831457764384595,0.0142277539331483,2.8908244943527293,0.9872964305400124
frozenset({'32'}),"frozenset({""['fn-mart2']""})",0.04483748351563106,0.010394849119540766,0.010394849119540766,0.23183391003460208,22.302768166089965,0.009928770243495885,1.2882697684885258,1.0
"frozenset({""['fn-mart2']""})",frozenset({'32'}),0.010394849119540766,0.04483748351563106,0.010394849119540766,1.0,22.302768166089965,0.009928770243495885,inf,0.96519557889786
"frozenset({""['ui-input']""})",frozenset({'32'}),0.031339694360406484,0.04483748351563106,0.011868745636490576,0.37871287128712877,8.446345369831102,0.010463552607220934,1.5373930544210561,0.910128756128596
frozenset({'32'}),"frozenset({""['ui-input']""})",0.04483748351563106,0.031339694360406484,0.011868745636490576,0.2647058823529412,8.446345369831102,0.010463552607220934,1.3173780156698471,0.9229901549401265
frozenset({'newpwd'}),frozenset({'32'}),0.010084555115972383,0.04483748351563106,0.010006981615080289,0.9923076923076924,22.1312084109662,0.009554815541305405,124.17112714297019,0.9645419151982573
frozenset({'32'}),frozenset({'newpwd'}),0.04483748351563106,0.010084555115972383,0.010006981615080289,0.22318339100346019,22.131208410966195,0.009554815541305405,1.2743232230355634,0.9996361065414572
frozenset({'password'}),frozenset({'32'}),0.2847723217748817,0.04483748351563106,0.03901947094872391,0.13701988558975756,3.055922742452534,0.02625099666543467,1.10681868624183,0.9406327760120405
frozenset({'32'}),frozenset({'password'}),0.04483748351563106,0.2847723217748817,0.03901947094872391,0.8702422145328719,3.0559227424525335,0.02625099666543467,5.5120213068549075,0.7043477783506062
frozenset({'32'}),frozenset({'return'}),0.04483748351563106,0.040881234970134205,0.03126212085951439,0.6972318339100345,17.055058009362913,0.029429109160442356,3.167832263927213,0.9855562288762971
frozenset({'return'}),frozenset({'32'}),0.040881234970134205,0.04483748351563106,0.03126212085951439,0.7647058823529411,17.055058009362913,0.029429109160442356,4.059440695058567,0.9814909289998258
frozenset({'password'}),frozenset({'Password'}),0.2847723217748817,0.01784190520518191,0.01737646419982934,0.06101879596840098,3.4199708644724214,0.01229558342966234,1.0459826997365178,0.989335102262163
frozenset({'Password'}),frozenset({'password'}),0.01784190520518191,0.2847723217748817,0.01737646419982934,0.9739130434782608,3.4199708644724214,0.01229558342966234,27.417060998629463,0.7204541223329235
frozenset({'submit'}),"frozenset({""['btn',""})",0.0803661469242107,0.014971685672174386,0.01031727561864867,0.12837837837837837,8.574744433552723,0.009114058928215603,1.1301100040350247,0.9605762614042487
"frozenset({""['btn',""})",frozenset({'submit'}),0.014971685672174386,0.0803661469242107,0.01031727561864867,0.689119170984456,8.574744433552723,0.009114058928215603,2.958155560727122,0.8968051330089281
